OBJECTID,ID_0,ISO,NAME_0,ID_1,NAME_1,ID_2,NAME_2,HASC_2,CCN_2,CCA_2,TYPE_2,ENGTYPE_2,NL_NAME_2,VARNAME_2,_count,_sum,_mean
1,153,MOZ,Mozambique,1,Cabo Delgado,1,Ancuabe,MZ.CD.AN,,,Distrito,District,,,31094,250173.259,8.045708465
2,153,MOZ,Mozambique,1,Cabo Delgado,2,Balama,MZ.CD.BA,,,Distrito,District,,,20563,160182.1984,7.789826311
3,153,MOZ,Mozambique,1,Cabo Delgado,3,Chi�re,MZ.CD.CH,,,Distrito,District,,,17586,171263.5166,9.738628264
4,153,MOZ,Mozambique,1,Cabo Delgado,4,Macomia,MZ.CD.MA,,,Distrito,District,,,14097,114784.9931,8.142512099
5,153,MOZ,Mozambique,1,Cabo Delgado,5,Mecufi,MZ.CD.MC,,,Distrito,District,,,2225,37909.68518,17.03806076
6,153,MOZ,Mozambique,1,Cabo Delgado,6,Meluco,MZ.CD.ML,,,Distrito,District,,,3918,27053.49504,6.904924717
7,153,MOZ,Mozambique,1,Cabo Delgado,7,Mocimboa da Praia,MZ.CD.MP,,,Distrito,District,,,19022,113355.4266,5.959174986
8,153,MOZ,Mozambique,1,Cabo Delgado,8,Montepuez,MZ.CD.MN,,,Distrito,District,,,30836,256119.2554,8.305852103
9,153,MOZ,Mozambique,1,Cabo Delgado,9,Mueda,MZ.CD.MD,,,Distrito,District,,,28311,144937.0879,5.119461972
10,153,MOZ,Mozambique,1,Cabo Delgado,10,Muidumbe,MZ.CD.MB,,,Distrito,District,,,20457,86906.76276,4.248265277
11,153,MOZ,Mozambique,1,Cabo Delgado,11,Namuno,MZ.CD.NM,,,Distrito,District,,,25127,237520.1205,9.452784672
12,153,MOZ,Mozambique,1,Cabo Delgado,12,Nangade,MZ.CD.NG,,,Distrito,District,,,14219,81299.26027,5.717649643
13,153,MOZ,Mozambique,1,Cabo Delgado,13,Palma,MZ.CD.PA,,,Distrito,District,,,9017,58501.56084,6.487918469
14,153,MOZ,Mozambique,1,Cabo Delgado,14,Pemba,MZ.CD.PM,,,Distrito,District,,Pemba-Metuge,20216,313852.3937,15.52495022
